,feature,weight,brh_index
0, Larry Mullen Jr.,0.5153894666666666,11.0
1,"""Drugs"" Delaney",0.041739285714285715,11.0
2,"""Hickory"" / The Tin Man",11.15519157364062,11.0
3,"""Hunk"" / The Scarecrow",11.15519157364062,11.0
4,"""Whistling"" John Shaw",-0.4877034333333333,9.0
5,"""Zeke"" / The Cowardly Lion",11.15519157364062,11.0
6,'Calamity' Jane Bodine,-0.74991925,9.0
7,'Chop-Top' Sawyer,0.7076323404255319,11.0
8,'Groot' Nadine,2.004,11.0
9,'Joliet' Jake Blues (as Jake),3.267773703703704,11.0
10,'Juicy' Judy Gonzalez,2.520145,11.0
11,'Jumpin' Joe Gastineau,-0.750274125,9.0
12,'Mac' George Michale,3.2520866648648648,11.0
13,'Maxim' de Winter,3.658385093167702,11.0
14,'Milky',2.43552268907563,11.0
15,'Mooney' Lynn,3.4788524666666665,11.0
16,'Mr. Pappy',0.52546590625,11.0
17,'Nails' Kilpatrick,1.0414921964217738,11.0
18,'Ratso' Rizzo,11.4402925,11.0
19,'Reverend' Roy Foltrigg,1.6136713555555555,11.0
20,'Smilin' Jack Johannson,-0.750274125,9.0
21,'Sport' Matthew,20.74044153846154,11.0
22,'Stitch' (voice),0.8221440875,11.0
23,(Det) Roland Castlebeck,1.6355811,11.0
24,(voice),45.243,11.0
25,1 (voice),0.6142687666666666,11.0
26,1WO,5.071428571428571,11.0
27,1st Bully,-0.2533774814814815,9.0
28,1st Lt. Terence Embry,0.5186145238095238,11.0
29,1st Lt. Tom Pullings,0.41340740666666664,11.0
30,1st Sgt. Edward Welsh,0.8870493269230769,11.0
31,1st Sgt. Milton Warden,17.484848484848484,11.0
32,2 (voice),0.6142687666666666,11.0
33,2WO,5.071428571428571,11.0
34,2nd Bully,-0.2533774814814815,9.0
35,2nd Lt. Jack Geoghegan,0.5288104533333333,11.0
36,2nd Lt. Ross Pennell,2.375,11.0
37,2nd Staff Sergeant Aubrey Stamps,-0.7928037111111111,9.0
38,406,3.3386178813559324,11.0
39,5 (voice),0.6142687666666666,11.0
40,50 Cent,0.6195762101817291,9.0
41,6 (voice),0.6142687666666666,11.0
42,7 (voice),0.6142687666666666,11.0
43,A. Kitman Ho,4.768495689708646,8.0
44,A.C.,-0.7018964561403509,9.0
45,A.J.,0.31243056770833333,10.0
46,A.J. 'The Reverend' Shepherd,1.7299976,11.0
47,A.J. Buckley,-0.536,9.0
48,A.J. Cook,2.4779386538461536,11.0
49,A.J. Dix,3.1902321846153847,10.0
50,A.J. Frost,2.9557111857142857,11.0
51,A.J. MacInerney,0.7399918709677419,11.0
52,A.J. Marley,-0.8352435444444445,9.0
53,A.J. Mercker,-0.3800686,9.0
54,A.J. Ross,-0.7153709571428571,9.0
55,AJ,2.1206829,11.0
56,AJ Cross,1.3657072,11.0
57,ASAC Dakota Whitney,1.2789811333333334,11.0
58,Aaliyah,1.4704367714285715,10.0
59,Aamir Khan,4.228250454545455,11.0
60,Aang,1.12335282,11.0
61,Aap,2.2933236666666668,11.0
62,Aaran Thomas,0.64339768,11.0
63,Aaron,20.775484589855072,10.0
64,Aaron Auch,1.07981255,11.0
65,Aaron Boyd,2.848267975,11.0
66,Aaron Cross,1.1274841384615384,11.0
67,Aaron Eckhart,1.346136142751034,19.0
68,Aaron Embrey,3.1601958066666667,11.0
69,Aaron Green,1.2507414,11.0
70,Aaron Hallam,-0.3775634909090909,9.0
71,Aaron Kaufman,-0.07152445064102564,10.0
72,Aaron Kwok,1.8278165863629727,11.0
73,Aaron L. Gilbert,0.8660665882352941,11.0
74,Aaron Mazzolini,0.20689655172413793,11.0
75,Aaron Meyerson,-0.8099105833333333,9.0
76,Aaron Paul,1.4351022864588745,9.0
77,Aaron Rapaport,-0.7194856363636364,9.0
78,Aaron Ruell,114.2952425,11.0
79,Aaron Russo,1.6903084926108374,10.0
80,Aaron Ryder,2.1149463220944815,10.0
81,Aaron Seltzer,1.8368050386666668,9.0
82,Aaron Shuster,2.2411398,11.0
83,Aaron Stanford,10.958417099999998,10.0
84,Aaron Taylor-Johnson,0.9835381227619047,9.0
85,Aaron Thibadeaux,2.2182484242424243,11.0
86,Aaron Wiseberger,-0.448893075,9.0
87,Aaron Wolff,3.4900477142857143,11.0
88,Aaron Yoo,2.848908673544974,10.0
89,Aasif Mandvi,0.6835369642440318,9.0
90,Abbey,3.2333295,11.0
91,Abbey Lee,-0.8095537142857143,9.0
92,Abbie Cornish,0.1734720186758443,10.0
93,Abbie Halpert,0.10693288461538461,11.0
94,Abbie Reynolds,-0.02548912,9.0
95,Abby,0.41312147853027176,12.0
96,Abby Beam,3.8125,11.0
97,Abby Brody,0.7733522586206897,11.0
98,Abby Durrell,-0.3775634909090909,9.0
99,Abby Laramie,-0.16971185,9.0
100,Abby Mallard (voice),1.0962177666666666,11.0
101,Abby McDeere,5.434484928571429,11.0
102,Abby Tierney,0.0382776,11.0
103,Abby Yates,0.5913021458333333,11.0
104,Abbé Faria,1.1541442285714285,11.0
105,Abdu-Hamdi,-0.9686025714285714,9.0
106,Abdul Salis,-0.7033333333333334,9.0
107,Abe,59.68,11.0
108,Abe Sapien,0.8869183882352941,11.0
109,Abel Ferrara,-0.90181408,9.0
110,Abel Morales,-0.3996465,9.0
111,Abel Turner,0.3820014,11.0
112,"Abernathy (segment ""Death Proof"")",-0.6263000447761194,9.0
113,Abhishek Bachchan,1.2972972972972974,11.0
114,Abigail,2.011677222222222,11.0
115,Abigail Bianca,0.1082804,11.0
116,Abigail Breslin,3.2488212393074285,9.0
117,Abigail Chase,2.47451894,11.0
118,Abigail Hargrove,1.659325,11.0
119,Abigail Salmon,0.4388551692307692,11.0
120,Abigail Whistler,0.9831594769230769,11.0
121,Abishag,1.44,11.0
122,Abner Dillon,4.195899772209567,11.0
123,Abou Fatma,-0.14621014285714284,9.0
124,Abraham,3.636887,11.0
125,Abraham 'Cousin Avi' Denovitz,7.3557872,11.0
126,Abraham Lincoln,1.931157423076923,10.0
127,Abraham Quintanilla,2.0,11.0
128,Abu the Monkey (voice),17.001793535714285,11.0
129,Abuela Irene,5.634363517081223,11.0
130,Accountant,-0.61266899,10.0
131,Ace,0.77430384,11.0
132,Ace Merrill,5.53592675,11.0
133,Ace Ventura,6.113672083333333,10.0
134,Achilles,1.8423420114285713,11.0
135,Ada McGrath,15.67142857142857,11.0
136,Ada Monroe,1.190044417721519,11.0
137,Ada Wong,2.6947577692307694,11.0
138,Adaline Bowman,1.62653104,11.0
139,Adam,5.544120719064355,10.0
140,"Adam ""Bug"" Hellerman",-0.20680172,9.0
141,Adam Alexi-Malle,0.0810345,11.0
142,Adam Arkin,-0.099052275,9.0
143,Adam Baldwin,-0.4352167241758242,9.0
144,Adam Barnett,5.550836,11.0
145,Adam Beach,0.05265687061055161,11.0
146,Adam Bennett,0.4696295,11.0
147,Adam Bohling,1.3582321078893933,10.0
148,Adam Bousdoukos,2.5745592,11.0
149,Adam Boyd,-0.8846226666666667,9.0
150,Adam Brody,1.6305397436242675,9.0
151,Adam Brooks,1.3398543333333333,11.0
152,Adam Campbell,2.38534975,10.0
153,Adam Carlson,-0.382019625,9.0
154,Adam Clayton,0.5153894666666666,11.0
155,Adam Crane,-0.4713307,9.0
156,Adam David Thompson,0.8993428571428571,11.0
157,Adam Davies,-0.5729836666666667,9.0
158,Adam Devlin,1.6348374285714287,11.0
159,Adam Driver,0.06318266835016838,11.0
160,Adam Duncan,0.20457948,11.0
161,Adam Ewing / Poor Hotel Guest / Megan's Dad / Highlander / Hae-Joo Chang / Adam / Zachry Brother-in-Law,0.2792438039215686,11.0
162,Adam Fields,-0.6341231666666667,10.0
163,Adam Flayman,0.91729718,11.0
164,Adam Folk,-0.9488538461538462,9.0
165,Adam Franklin,4.9112176,11.0
166,Adam Frawley,3.1628685405405403,11.0
167,Adam G. Sevani,4.933487396376812,10.0
168,Adam Garcia,0.743844661111111,9.0
169,Adam Gibson,0.17177410975609755,11.0
170,Adam Goldberg,0.7925115766666666,10.0
171,Adam Greaves-Neal,-0.6491675135135135,9.0
172,Adam Herz,2.0195963636363636,10.0
173,Adam J. Braff,-0.0030365454545454545,10.0
174,Adam Jones,0.83033715,11.0
175,Adam Jr.,-0.12038207142857144,9.0
176,Adam Kempton,0.5368920526315789,11.0
177,Adam Kesher,0.3411559333333333,11.0
178,Adam Kolbrenner,1.6549279782608695,11.0
179,Adam Lamberg,2.2667326470588236,11.0
180,Adam Lang,0.3382732888888889,11.0
181,Adam Le,1.6873534166666666,11.0
182,Adam Leavitt,0.2379794,11.0
183,Adam Lerner,3.898472875,11.0
184,Adam Levine,6.933107625,11.0
185,Adam Maitland,3.8884444,11.0
186,Adam Marcus,4.312688333333333,11.0
187,Adam McKay,2.459133342075018,10.0
188,Adam Meiks,0.19185890909090908,11.0
189,Adam Merims,-0.509208,9.0
190,Adam Mitchell,33.522221,11.0
191,Adam Pascal,1.2713534499999999,10.0
192,Adam Rapp,-0.9674905714285714,9.0
193,Adam Rifkin,-0.3512130769230769,9.0
194,Adam Rodríguez,7.2779092567567565,11.0
195,Adam Rosenberg,1.78731369,11.0
196,Adam Rosenfelt,-0.893391,9.0
197,Adam Sandler,2.084548973096071,31.0
198,Adam Schaffer,1.5776900588235294,11.0
199,Adam Schroeder,6.034318341666666,10.0
200,Adam Scott,1.2194304253732873,20.0
201,Adam Sewell,61.88209,11.0
202,Adam Shankman,2.9418733327345663,9.0
203,Adam Shulman,-0.9946248333333333,9.0
204,Adam Siegel,2.6833062786885247,10.0
205,Adam Stubbs,-0.699446,9.0
206,Adam Szyszkowski,3.955355488866659,11.0
207,Adam Trese,5.550836,11.0
208,Adam W. Rosen,-0.2822857,9.0
209,Adam Webber,0.150372,11.0
210,Adamson,2.95,11.0
211,Addie,2.9423016538461537,11.0
212,Addison,-0.99447075,9.0
213,Addison Timlin,1.6126852727272727,11.0
214,Adeel Akhtar,3.412588380941752,11.0
215,Adela Quested,2.398456625,11.0
216,Adelaide Clemens,1.6151398,11.0
217,Adelaide Kane,28.776209,11.0
218,Adele,12.328759898039216,10.0
219,Adele August,-0.18897326086956523,9.0
220,Adele Invergordon,-0.5067571625,9.0
221,Adele Mara,6.8,11.0
222,Adele Stanton,-0.4817005833333333,9.0
223,Adele Wheeler,0.126434,11.0
224,Adelynn Beam,3.8125,11.0
225,Adewale Akinnuoye-Agbaje,-0.253332431002331,11.0
226,Adi,0.3909314846746666,11.0
227,Adi Hasak,-0.036810684523809534,10.0
228,Adil Hussain,4.0751380416666665,11.0
229,Adilah Barnes,-0.026570533333333334,9.0
230,Aditi,4.974025974025974,11.0
231,Aditya Chopra,3.197902857142857,11.0
232,Aditya Roy Kapoor,4.974025974025974,11.0
233,Aditya Sood,7.036545352941176,11.0
234,Admiral,-0.2822857,9.0
235,Admiral Bratyeev,-0.64831034,9.0
236,Admiral Hood,-0.65546152,9.0
237,Admiral Husband E. Kimmel,0.15943853247008044,11.0
238,Admiral James Greer,5.64,11.0
239,Admiral James T. Kirk,5.45,10.0
240,Admiral Jim Sandecker,-0.08254241538461539,9.0
241,Admiral Leslie McMahon Reigart,1.29383005,11.0
242,Admiral Pollack,1.838235294117647,11.0
243,Admiral Tuwey,1.1629575573770492,11.0
244,Admiral/Captain James T. Kirk,4.541666666666667,11.0
245,Adolf Hitler,4.026290434711488,11.0
246,Adolfo Celi,24.671937818181817,11.0
247,Adolfo Martínez Pérez,2.011677222222222,11.0
248,Adonijah,1.44,11.0
249,Adonis Johnson,3.691015702702703,11.0
250,Adrian Askarieh,3.1652397083333335,11.0
251,Adrian Cronauer,8.53249,11.0
252,Adrian Doorbal,2.44701164,11.0
253,Adrian Dunbar,7.454308686315024,10.0
254,Adrian Grenier,1.824176125,11.0
255,Adrian Helmsley,2.848267975,11.0
256,Adrian Lyne,11.219209158970589,9.0
257,Adrian Paul,-0.36625568,9.0
258,Adriana Barraza,4.41320728,11.0
259,Adriana Caselotti,123.24256142239135,11.0
260,"Adrianna ""Adrian"" Pennino",116.235147,11.0
261,Adrianne Palicki,1.8605867538461538,11.0
262,Adriano Giannini,-0.9401355,9.0
263,Adrien,-0.8224167333333334,10.0
264,Adrien Brody,1.6782427499480976,10.0
265,Adrienne Barbeau,11.0034776875,10.0
266,Adrienne King,16.3782208,11.0
267,Adrienne Shaw,0.9520208,11.0
268,Adrienne Shelly,10.089715,11.0
269,Adrik Vas,-0.05746721428571429,9.0
270,Adrián Alonso Barona,0.8986675333333334,11.0
271,Adrián Guerra,4.301840849407592,10.0
272,Adult Bobby Garfield,-0.21981351612903227,9.0
273,Adult Joe Wenteworth,-0.08732925,9.0
274,Adult Nala (voice),16.516483911111113,11.0
275,Adult Simba (voice),16.516483911111113,11.0
276,Adult Trip Fontaine,0.7348961666666667,11.0
277,Aeon Flux,-0.1563870806451613,9.0
278,Aeschylus Poulos,-0.20620084,9.0
279,Affion Crockett,0.05823995,11.0
280,Agata Kulesza,3.955355488866659,11.0
281,Agata Trzebuchowska,3.955355488866659,11.0
282,Agatha,2.5134600588235294,11.0
283,Agatha Rose Doherty,1.6641825142857143,11.0
284,Agatha Sparrow / Fabrizia,1.5855605,11.0
285,Aged 5 Jack,0.7085695625,11.0
286,Agent 23,1.8835681625,11.0
287,Agent 47,3.1652397083333335,11.0
288,Agent 99,1.8835681625,11.0
289,Agent Augustus Gibbons,1.5740569238095237,10.0
290,Agent Boshane,1.9268823333333334,11.0
291,Agent Cooper,0.22658462857142858,11.0
292,Agent Dana Scully,1.866641106060606,11.0
293,Agent Fox Mulder,1.866641106060606,11.0
294,Agent Frank Haddad,0.6667558857142857,11.0
295,Agent Frank Pinsky,-0.23446565714285714,9.0
296,Agent George Stone/Giuseppe Petri,2.05081816,11.0
297,Agent Horvath,-0.982068625,9.0
298,Agent J,1.7734523377777778,11.0
299,Agent J.T. Roberts,0.4419648333333333,11.0
300,Agent Jay,2.1558485928571427,11.0
301,Agent Jennifer Marsh,-0.07190257142857143,9.0
302,Agent Jeremiah Ecks,-0.7153709571428571,9.0
303,Agent K,3.661118052222222,10.0
304,Agent Kate Russo,1.1798547272727273,11.0
305,Agent Kyle Steele,0.18456553333333334,11.0
306,Agent Lacey,-0.7194856363636364,9.0
307,Agent Linda Perez,-0.23446565714285714,9.0
308,Agent Lonnie Hawkins,2.8686585125,11.0
309,Agent Lowry,0.8264377866666667,11.0
310,Agent Mosley Drummy,1.2789811333333334,11.0
311,Agent O,1.7734523377777778,11.0
312,Agent Oscar Wallace,2.05081816,11.0
313,Agent Patrick Denham,2.92000694,11.0
314,Agent Pellman,1.06809932,11.0
315,Agent Sever,-0.7153709571428571,9.0
316,Agent Sevier,-0.6548732222222222,9.0
317,Agent Smith,4.038223841481482,10.0
318,Agent Strahm,11.238813733333334,10.0
319,Agent Thornton,-0.982068625,9.0
320,Aggie Prenderghast (voice),0.78565665,11.0
321,Agi Orsi,0.21769230769230768,11.0
322,Agnes,3.4210526315789473,11.0
323,Agnes Bruckner,-0.20085853000000004,10.0
324,Agnes Stark,0.686308724137931,11.0
325,Agnes Webb,0.75,11.0
326,Agness Adler,1.5776900588235294,11.0
327,Agnieszka Wojtowicz-Vosloo,-0.1985788888888889,9.0
328,Agnès Mentre,5.550836,11.0
329,Agravaine,1.3200079090909091,11.0
330,Agustina,5.634363517081223,11.0
331,Agustín Díaz Yanes,-0.028251916666666668,9.0
332,Agustín Magaldi,1.5644941636363636,11.0
333,Ah Si / Deng Si-Di,-0.7461880869565217,9.0
334,Ahkmenrah,1.7513722992125984,11.0
335,Ahmad Abdul Rahim,0.009236914285714286,11.0
336,Ahmad Ibn Fadlān,-0.61438188125,9.0
337,Ahmad Khan Mahmoodzada,2.66380235,11.0
338,Ahmed Kathrada,-0.21914285714285714,9.0
339,Ahney Her,7.180552363636363,11.0
340,Aibileen Clark,3.97088496,11.0
341,Aidan Bloom,-0.0030365454545454545,10.0
342,Aidan Gillen,1.577686199125683,9.0
343,Aidan Keller,2.22903076,11.0
344,Aidan McRory,-0.16547583892617448,9.0
345,Aidan Quinn,1.5960873154761905,10.0
346,Aiden,3.0055439,11.0
347,Aiden Lovekamp,27.5635984,11.0
